"","name","runtime","rating"
"1","The Strangers","86 min","6.1"
"2","The Grudge","91 min","5.9"
"3","The Exorcist","122 min","8.1"
"4","Day of the Dead","101 min","7.1"
"5","Paranormal Activity","86 min","6.3"
"6","The Evil Dead","85 min","7.4"
"7","[Rec]","78 min","7.4"
"8","The Shining","146 min","8.4"
"9","Insidious","103 min","6.8"
"10","Session 9","100 min","6.4"
"11","Halloween","91 min","7.7"
"12","The Thing","109 min","8.2"
"13","The Hills Have Eyes","107 min","6.4"
"14","Pulse","90 min","4.7"
"15","28 Days Later...","113 min","7.5"
"16","The Crazies","101 min","6.5"
"17","The Texas Chain Saw Massacre","83 min","7.4"
"18","The Descent","99 min","7.2"
"19","Case 39","109 min","6.2"
"20","Wolf Creek","99 min","6.2"
