"","name","runs","average","matches"
"1","V Kohli*","
									4008
								","
									52.74
								","
									115
								"
"2","Babar Azam*","
									3355
								","
									41.42
								","
									99
								"
"3","R G Sharma*","
									3853
								","
									31.33
								","
									148
								"
"4","D A Warner*","
									2894
								","
									32.89
								","
									99
								"
"5","Mohammad Rizwan*","
									2635
								","
									48.80
								","
									80
								"
"6","K L Rahul*","
									2265
								","
									37.75
								","
									72
								"
"7","P R Stirling*","
									3181
								","
									28.66
								","
									121
								"
"8","M J Guptill*","
									3531
								","
									31.81
								","
									122
								"
"9","A J Finch*","
									3120
								","
									34.29
								","
									103
								"
"10","J C Buttler*","
									2602
								","
									34.69
								","
									103
								"
"11","K S Williamson*","
									2464
								","
									33.30
								","
									87
								"
"12","C H Gayle*","
									1899
								","
									27.93
								","
									79
								"
"13","Mohammad Hafeez*","
									2514
								","
									26.46
								","
									119
								"
"14","E J G Morgan*","
									2458
								","
									28.58
								","
									115
								"
"15","Q de Kock*","
									2156
								","
									32.18
								","
									77
								"
"16","D J Malan*","
									1748
								","
									38.84
								","
									55
								"
"17","B B McCullum","
									2140
								","
									35.67
								","
									71
								"
"18","T M Dilshan","
									1889
								","
									28.19
								","
									80
								"
"19","S A Yadav*","
									1675
								","
									46.53
								","
									48
								"
"20","Shakib Al Hasan*","
									2243
								","
									23.12
								","
									109
								"
"21","Mohammad Shahzad*","
									2015
								","
									30.07
								","
									70
								"
"22","A D Hales*","
									2074
								","
									30.96
								","
									75
								"
"23","M D K J Perera*","
									1539
								","
									26.53
								","
									60
								"
"24","H Masakadza","
									1662
								","
									25.97
								","
									66
								"
"25","J-P Duminy","
									1934
								","
									38.68
								","
									81
								"
"26","S Dhawan*","
									1759
								","
									27.92
								","
									68
								"
"27","C Munro","
									1724
								","
									31.35
								","
									65
								"
"28","R R Hendricks*","
									1372
								","
									29.83
								","
									48
								"
"29","M P O'Dowd*","
									1589
								","
									29.98
								","
									58
								"
"30","K Mendis*","
									1162
								","
									23.24
								","
									52
								"
"31","S C Williams*","
									1482
								","
									24.30
								","
									68
								"
"32","S R Watson","
									1462
								","
									29.24
								","
									58
								"
"33","A B de Villiers","
									1672
								","
									26.13
								","
									78
								"
"34","M N Samuels","
									1611
								","
									29.29
								","
									67
								"
"35","F du Plessis*","
									1528
								","
									35.53
								","
									50
								"
"36","G J Maxwell*","
									2159
								","
									28.41
								","
									98
								"
"37","T P Ura*","
									1202
								","
									38.77
								","
									39
								"
"38","E Lewis*","
									1465
								","
									29.90
								","
									53
								"
"39","Syed Aziz*","
									1200
								","
									33.33
								","
									48
								"
"40","Shoaib Malik*","
									2435
								","
									31.22
								","
									124
								"
"41","D P M D Jayawardene","
									1493
								","
									31.77
								","
									55
								"
"42","L M P Simmons*","
									1527
								","
									26.79
								","
									68
								"
"43","B N Cooper*","
									1239
								","
									28.16
								","
									58
								"
"44","H G Munsey*","
									1438
								","
									28.76
								","
									56
								"
"45","N Pooran*","
									1427
								","
									25.48
								","
									72
								"
"46","A K Markram*","
									879
								","
									38.22
								","
									31
								"
"47","D P Conway*","
									1234
								","
									45.70
								","
									38
								"
"48","P Nissanka*","
									1064
								","
									28.76
								","
									39
								"
"49","S Ssesazi*","
									1175
								","
									34.56
								","
									41
								"
"50","K C Sangakkara","
									1382
								","
									31.41
								","
									56
								"
